name,shop_type,primary_service,is_chain,phone,website,street,city,state,state_code,postal_code,latitude,longitude,time_zone,rating,rating_tier,reviews,photos_count,has_photos,verified,location_link,services,num_services,offers_fitting,fitting_environment,public_fitting,working_hours,open_on_weekends,business_status,outreach_ready,services_source,query,area_service,owner_title,about,enrichment_status
Alaska Sim 72 GOLF,Simulator,Golf Simulator,False,(907) 301-3700,https://alaskasim72.com/,4230 Old Seward Hwy,Anchorage,Alaska,AK,99503,61.18186559999999,-149.8688811,America/Anchorage,4.9,Top Rated,0,64,True,True,"https://www.google.com/maps/place/Alaska+Sim+72+Golf+%28previously+Divots+Golf+Anchorage%29/@61.181865599999995,-149.86888109999998,14z/data=!4m8!1m2!2m1!1sAlaska+Sim+72+Golf+%28previously+Divots+Golf+Anchorage%29!3m4!1s0x56c8971a6bb4f783:0x3776591ff8937b36!8m2!3d61.181865599999995!4d-149.86888109999998",Club Repair | Custom Club Building | Golf Simulator | Retail / Pro Shop,4,False,Indoor,True,"{""Wednesday"": [""10AM-10PM""]}",False,OPERATIONAL,True,crawled,independent clubmaker Alaska,False,Alaska Sim 72 Golf,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true, ""Wheelchair accessible restroom"": true}, ""Other"": {""LGBTQ+ friendly"": true, ""Identifies as women-owned"": true}}",
Moon GOLF - Auburn,Clubfitter,Club Fitting,False,(334) 239-4300,https://moongolf.com/,2006 Samglenn Dr #500,Auburn,Alabama,AL,36830,32.6035552,-85.44089009999999,America/Chicago,4.7,Top Rated,0,94,True,True,"https://www.google.com/maps/place/Moon+Golf+-+Auburn/@32.603555199999995,-85.44089009999999,14z/data=!4m8!1m2!2m1!1sMoon+Golf+-+Auburn!3m4!1s0x888ced23c01e97a1:0xabf581df2dd4b89d!8m2!3d32.603555199999995!4d-85.44089009999999",Club Fitting | Club Repair | Golf Simulator | Launch Monitor | Retail / Pro Shop,5,True,Indoor,True,"{""Wednesday"": [""9AM-6PM""]}",False,OPERATIONAL,True,crawled,boutique golf shop Alabama,False,Moon Golf - Auburn,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}}",
Inverness GOLF & Repair,Clubfitter,Club Fitting,False,(205) 991-1008,https://invernessgolfbham.com/,4647 US-280 D,Birmingham,Alabama,AL,35242,33.4261971,-86.7016177,America/Chicago,4.8,Top Rated,0,15,True,False,"https://www.google.com/maps/place/Inverness+Golf+%26+Repair/@33.426197099999996,-86.7016177,14z/data=!4m8!1m2!2m1!1sInverness+Golf+%26+Repair!3m4!1s0x888917b32bb3841f:0xc9262c9f7bbd7928!8m2!3d33.426197099999996!4d-86.7016177",Club Fitting | Club Repair | Retail / Pro Shop,3,True,Indoor,True,"{""Wednesday"": [""8:30AM-5PM""]}",False,OPERATIONAL,True,crawled,custom club fitting Alabama,False,Inverness Golf & Repair,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}}",
Fairhope GOLF Works,Clubfitter,Club Fitting,False,(425) 218-4218,https://fairhopegolfworks.com/,552 S Section St,Fairhope,Alabama,AL,36532,30.5084818,-87.90333919999999,America/Chicago,5.0,Top Rated,0,19,True,True,"https://www.google.com/maps/place/Fairhope+Golf+Works/@30.5084818,-87.90333919999999,14z/data=!4m8!1m2!2m1!1sFairhope+Golf+Works!3m4!1s0x889a3f5041a17ebb:0xa65c2eaafe64a47a!8m2!3d30.5084818!4d-87.90333919999999",Club Fitting | Club Repair | Custom Club Building | Golf Lessons | Launch Monitor | Retail / Pro Shop | Shaft & Grip Sales,7,True,Indoor,True,"{""Wednesday"": [""8AM-5PM""]}",False,OPERATIONAL,True,crawled,custom club fitting Alabama,False,Fairhope Golf Works,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}}",
1.50 GOLF - Precision Fitting & Instruction,Clubfitter,Club Fitting,False,(251) 968-8560,https://www.150golf.com/gulf-shores-al,3757 Gulf Shores Pkwy # F,Gulf Shores,Alabama,AL,36542,30.2994935,-87.6835763,America/Chicago,4.5,Highly Rated,0,19,True,True,"https://www.google.com/maps/place/1.50+Golf+-+Precision+Fitting+%26+Instruction/@30.299493499999997,-87.6835763,14z/data=!4m8!1m2!2m1!1s1.50+Golf+-+Precision+Fitting+%26+Instruction!3m4!1s0x889a0546aedb2b4f:0x5cf2ca1222ad7c42!8m2!3d30.299493499999997!4d-87.6835763",Club Fitting | Club Repair | Golf Lessons,3,True,Indoor,True,"{""Wednesday"": [""9AM-5PM""]}",False,OPERATIONAL,True,crawled,custom club fitting Alabama,False,1.50 Golf - Precision Fitting & Instruction,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}}",
3bm GOLF Studio,Clubfitter,Club Fitting,False,(205) 873-9100,https://www.3bmgolfstudio.com/,237 Oxmoor Cir Suite 107,Homewood,Alabama,AL,35209,33.4542969,-86.83865399999999,America/Chicago,5.0,Top Rated,0,51,True,True,"https://www.google.com/maps/place/3BM+Golf+Studio/@33.454296899999996,-86.83865399999999,14z/data=!4m8!1m2!2m1!1s3BM+Golf+Studio!3m4!1s0x88891f93f7259c9f:0xfbc0010c39dc942a!8m2!3d33.454296899999996!4d-86.83865399999999",Club Fitting | Club Repair | Custom Club Building | Launch Monitor | Retail / Pro Shop | Shaft & Grip Sales,6,True,Indoor,True,,False,OPERATIONAL,True,crawled,custom club fitting Alabama,False,3BM Golf Studio,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}, ""Other"": {""Identifies as Black-owned"": true}}",
Pebblehurst GOLF And Putter Lab,Clubfitter,Club Fitting,False,(205) 490-1122,https://www.pebblehurst.com/,2915 Linden Ave,Homewood,Alabama,AL,35209,33.4781402,-86.79247319999999,America/Chicago,4.9,Top Rated,0,13,True,True,"https://www.google.com/maps/place/Pebblehurst+Golf+and+Putter+Lab/@33.4781402,-86.79247319999999,14z/data=!4m8!1m2!2m1!1sPebblehurst+Golf+and+Putter+Lab!3m4!1s0x888919a370809ea1:0xabaad5d740614e70!8m2!3d33.4781402!4d-86.79247319999999",Club Fitting | Club Repair | Custom Club Building | Launch Monitor | Retail / Pro Shop | Shaft & Grip Sales,6,True,Indoor,True,"{""Wednesday"": [""9:30AM-5:30PM""]}",False,OPERATIONAL,True,crawled,custom club fitting Alabama,False,Pebblehurst Golf and Putter Lab,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}}",
Your GOLF Superstore,Retailer,Golf Retail,False,(334) 649-1119,https://yourgolfsuperstore.com/,9100 Eastchase Pkwy,Montgomery,Alabama,AL,36117,32.3618923,-86.138425,America/Chicago,4.5,Highly Rated,0,12,True,False,"https://www.google.com/maps/place/Your+Golf+Superstore/@32.3618923,-86.138425,14z/data=!4m8!1m2!2m1!1sYour+Golf+Superstore!3m4!1s0x888c2c4bc96ae511:0xbf20bf905175ccd!8m2!3d32.3618923!4d-86.138425",Retail / Pro Shop,1,False,Indoor,True,"{""Wednesday"": [""10AM-6PM""]}",False,OPERATIONAL,True,crawled,boutique golf shop Alabama,False,Your Golf Superstore,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}}",
Your GOLF Superstore,Retailer,Golf Retail,False,(205) 343-6789,https://yourgolfsuperstore.com/,2330 McFarland Blvd E,Tuscaloosa,Alabama,AL,35404,33.1879799,-87.5268749,America/Chicago,3.3,Standard,0,11,True,True,"https://www.google.com/maps/place/Your+Golf+Superstore/@33.1879799,-87.5268749,14z/data=!4m8!1m2!2m1!1sYour+Golf+Superstore!3m4!1s0x8888a9ccddff8ac5:0x50c4c47c1730a273!8m2!3d33.1879799!4d-87.5268749",Retail / Pro Shop,1,False,Indoor,True,"{""Wednesday"": [""9AM-6PM""]}",False,OPERATIONAL,True,crawled,boutique golf shop Alabama,False,Your Golf Superstore,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}}",
Infinity GOLF,Retailer,Golf Travel,False,(479) 276-9711,https://bookinfinitygolf.com/,3922 N Hwy 71,Alma,Arkansas,AR,72921,35.5260657,-94.220561,America/Chicago,5.0,Top Rated,0,10,True,True,"https://www.google.com/maps/place/Infinity+Golf/@35.5260657,-94.22056099999999,14z/data=!4m8!1m2!2m1!1sInfinity+Golf!3m4!1s0x87cbc790174e5707:0xef3dc365aed3daca!8m2!3d35.5260657!4d-94.22056099999999",Golf Travel,1,False,Indoor,True,"{""Wednesday"": [""10AM-10PM""]}",False,OPERATIONAL,True,recrawled,independent clubmaker Arkansas,False,Infinity Golf,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}, ""Other"": {""Identifies as veteran-owned"": true}}",
