name,shop_type,primary_service,is_chain,phone,website,street,city,state,state_code,postal_code,latitude,longitude,time_zone,rating,rating_tier,reviews,photos_count,has_photos,verified,location_link,services,num_services,offers_fitting,fitting_environment,public_fitting,working_hours,open_on_weekends,business_status,outreach_ready,services_source,query,area_service,owner_title,about,enrichment_status
Brooks GOLF Center,Retailer,Golf Retail,False,(870) 931-9200,https://www.brooksgolfcenter.com/,2011 Grant Ave,Jonesboro,Arkansas,AR,72401,35.8180303,-90.6806266,America/Chicago,4.4,Highly Rated,0,5,True,False,"https://www.google.com/maps/place/Brooks+Golf+Center/@35.8180303,-90.6806266,14z/data=!4m8!1m2!2m1!1sBrooks+Golf+Center!3m4!1s0x87d42ea91e1c9073:0xb702cfea49056d8d!8m2!3d35.8180303!4d-90.6806266",,0,False,Indoor,True,"{""Wednesday"": [""9AM-5:30PM""]}",False,OPERATIONAL,True,crawl_failed,independent clubmaker Arkansas,False,Brooks Golf Center,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}}",failed
Sportstop INC,Retailer,Golf Retail,False,(501) 224-4033,https://sportstopinc.com/,"4176, 10720 N Rodney Parham Rd D6",Little Rock,Arkansas,AR,72212,34.7716716,-92.3930492,America/Chicago,4.4,Highly Rated,0,16,True,True,"https://www.google.com/maps/place/Sportstop+Inc/@34.7716716,-92.3930492,14z/data=!4m8!1m2!2m1!1sSportstop+Inc!3m4!1s0x87d2a1428b8a6c4b:0xe84c77ab9816be4c!8m2!3d34.7716716!4d-92.3930492",,0,False,Indoor,True,"{""Wednesday"": [""9AM-5PM""]}",False,OPERATIONAL,True,crawled,boutique golf shop Arkansas,False,Sportstop Inc,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}}",unknown
Dynamic GOLF Tucson At Project Par Performance Studio,Instruction,Golf Instruction,False,(520) 244-7682,https://www.dynamicgolftucson.com/,600 S Alvernon Way,Tucson,Arizona,AZ,85711,32.2130849,-110.9109796,America/Phoenix,5.0,Top Rated,0,64,True,True,"https://www.google.com/maps/place/Dynamic+Golf+Tucson+at+Project+Par+Performance+Studio/@32.2130849,-110.91097959999999,14z/data=!4m8!1m2!2m1!1sDynamic+Golf+Tucson+at+Project+Par+Performance+Studio!3m4!1s0x86d671b1375450e9:0x128f82c658cad3a2!8m2!3d32.2130849!4d-110.91097959999999",,0,False,Unknown,True,"{""Wednesday"": [""9AM-6PM""]}",False,OPERATIONAL,True,crawl_failed,custom club fitting Arizona,False,Dynamic Golf Tucson at Project Par Performance Studio,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true, ""Wheelchair accessible restroom"": true}}",failed
"Okkys Specialized PGA GOLF Lessons, Fitting, And Club Repairs",Instruction,Golf Instruction,False,(909) 348-2088,https://golfmadesense.com/,22751 Golden Springs Dr,Diamond Bar,California,CA,91765,34.0083728,-117.8204272,America/Los_Angeles,5.0,Top Rated,0,79,True,True,"https://www.google.com/maps/place/Okky%E2%80%99s+Specialized+PGA+Golf+Lessons%2C+Fitting%2C+and+Club+Repairs/@34.0083728,-117.8204272,14z/data=!4m8!1m2!2m1!1sOkky%E2%80%99s+Specialized+PGA+Golf+Lessons%2C+Fitting%2C+and+Club+Repairs!3m4!1s0x80c32bbce6275701:0x78683cb142f9d9b4!8m2!3d34.0083728!4d-117.8204272",,0,False,Unknown,True,"{""Wednesday"": [""8AM-9PM""]}",False,OPERATIONAL,True,crawl_failed,independent clubmaker California,False,"Okky’s Specialized PGA Golf Lessons, Fitting, and Club Repairs","{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}}",failed
Olympic GOLF,Retailer,Golf Retail,False,(714) 447-9997,https://www.theolympicgolf.com/,"Amerige Heights, 1967 W Malvern Ave",Fullerton,California,CA,92833,33.88004,-117.9627795,America/Los_Angeles,3.4,Standard,0,58,True,True,"https://www.google.com/maps/place/Olympic+Golf/@33.88004,-117.9627795,14z/data=!4m8!1m2!2m1!1sOlympic+Golf!3m4!1s0x80dd2a4fcd15dc09:0x7c7afa9237f6264c!8m2!3d33.88004!4d-117.9627795",,0,False,Indoor,True,"{""Wednesday"": [""9AM-7PM""]}",False,OPERATIONAL,True,crawl_failed,boutique golf shop California,False,Olympic Golf,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}}",failed
Legal Limit Putters,Retailer,Golf Retail,False,(800) 910-1372,https://www.legallimitputters.com/Pages/contact_us.html,11373 Trade Center Dr,Rancho Cordova,California,CA,95742,38.6080729,-121.262016,America/Los_Angeles,0.0,Unrated,0,1,True,False,"https://www.google.com/maps/place/Legal+Limit+Putters/@38.608072899999996,-121.26201599999999,14z/data=!4m8!1m2!2m1!1sLegal+Limit+Putters!3m4!1s0x809ae7878e49c01f:0xba1056a1766dfa79!8m2!3d38.608072899999996!4d-121.26201599999999",,0,False,Indoor,True,,False,OPERATIONAL,True,crawled,independent clubmaker California,False,Legal Limit Putters,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}}",failed
Tri-fit Custom GOLF,Clubfitter,Club Fitting,False,(203) 202-9640,https://www.trifitgolf.com/,365 Post Rd,Darien,Connecticut,CT,06820,41.0865064,-73.4612551,America/New_York,4.7,Top Rated,0,23,True,True,"https://www.google.com/maps/place/Tri-Fit+Custom+Golf/@41.0865064,-73.4612551,14z/data=!4m8!1m2!2m1!1sTri-Fit+Custom+Golf!3m4!1s0x89e81e26ee52ca93:0x1e7d83f355a1d4cc!8m2!3d41.0865064!4d-73.4612551",,0,True,Indoor,True,"{""Wednesday"": [""9AM-5PM""]}",False,OPERATIONAL,True,crawled,independent clubmaker Connecticut,False,Tri-Fit Custom Golf,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}}",unknown
Swingsimtech,Retailer,Golf Retail,False,,https://swingsimtech.com/,34 Sunrise Ln,East Hampton,Connecticut,CT,06424,41.5984059,-72.5188785,America/New_York,0.0,Unrated,0,1,True,False,"https://www.google.com/maps/place/SwingSimTech/@41.598405899999996,-72.5188785,14z/data=!4m8!1m2!2m1!1sSwingSimTech!3m4!1s0x89e6455f320c3593:0x95ed83b97209f027!8m2!3d41.598405899999996!4d-72.5188785",,0,False,Indoor,True,,False,OPERATIONAL,True,crawled,independent clubmaker Connecticut,False,SwingSimTech,"{""Accessibility"": {""Wheelchair accessible parking lot"": true}}",unknown
The Office GOLF Ct,Simulator,Golf Simulator,False,(203) 746-4653,https://www.theofficegolfct.com/,4 Dunham Dr,New Fairfield,Connecticut,CT,06812,41.4668498,-73.4807661,America/New_York,4.4,Highly Rated,0,4,True,True,"https://www.google.com/maps/place/The+Office+Golf+CT/@41.4668498,-73.4807661,14z/data=!4m8!1m2!2m1!1sThe+Office+Golf+CT!3m4!1s0x89dd5764a1dd353b:0xd42551454cc0fa36!8m2!3d41.4668498!4d-73.4807661",,0,False,Indoor,True,"{""Wednesday"": [""Open 24 hours""]}",False,OPERATIONAL,True,crawled,independent clubmaker Connecticut,False,The Office Golf CT,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true, ""Wheelchair accessible restroom"": true}}",failed
Jessyjames GOLF,Retailer,Golf Retail,False,(321) 295-7506,https://www.jessyjamesgolf.com/,279 Douglas Ave #1106,Altamonte Springs,Florida,FL,32714,28.6651603,-81.3902877,America/New_York,4.7,Top Rated,0,7,True,True,"https://www.google.com/maps/place/JessyJames+Golf/@28.6651603,-81.3902877,14z/data=!4m8!1m2!2m1!1sJessyJames+Golf!3m4!1s0x88e77ef51a2ac0bd:0x8207ee6d4d98c5fc!8m2!3d28.6651603!4d-81.3902877",,0,False,Indoor,True,"{""Wednesday"": [""10AM-5PM""]}",False,OPERATIONAL,True,crawl_failed,custom club fitting Florida,False,JessyJames Golf,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}}",failed
