name,address,city,state_code,zip,phone,website,sources,verdict,reason,approved
Cool Clubs,13100 Sunridge Drive,Fountain Hills,AZ,85268-3400,,,ping,new,,yes
Club Champion,20022 North 67th Avenue,Glendale,AZ,85308-4623,,,ping,new,,yes
GolfTEC Biltmore,3136 E INDIAN SCHOOL RD,PHOENIX,AZ,85016-6808,,,ping,new,,yes
True Spec Golf - Phoenix,3636 East Baseline Road,Phoenix,AZ,85042-7214,,,ping,new,,yes
Cool Clubs,7267 E ADOBE DR,SCOTTSDALE,AZ,85255-4032,,,ping,new,,yes
GolfTEC N-Scottsdale,23417 N PIMA RD,SCOTTSDALE,AZ,85255-8382,,,ping,new,,yes
GolfTEC Shea Scottsdale,7342 E SHEA BLVD,SCOTTSDALE,AZ,85260-6467,,,ping,new,,yes
Club Champion,9015 East Vía Linda,Scottsdale,AZ,85258-5410,,,ping,new,,yes
True Spec Golf - Scottsdale,17025 North Scottsdale Road,Scottsdale,AZ,85255-5881,,,ping,new,,yes
True Spec Golf - Scottsdale East,9998 Talking Stick Way,Scottsdale,AZ,85250-1201,,,ping,new,,yes
GolfTEC Tempe,2010 E RIO SALADO PKWY STE 118,TEMPE,AZ,85281-5182,,,ping,new,,yes
GolfTEC Tucson,3122 N CAMPBELL AVE,TUCSON,AZ,85719-2302,,,ping,new,,yes
Club Champion,635 West Ina Road,Tucson,AZ,85704-4435,,,ping,new,,yes
Club Champion,28631 Canwood Street,Agoura Hills,CA,91301,(818) 865-4991,,ping,new,,yes
True Spec Golf - Beverly Hills,9658 Wilshire Boulevard,Beverly Hills,CA,90212-2326,,,ping,new,,yes
Club Champion,3480 Blackhawk Plaza Circle,Blackhawk,CA,94506,,,ping,new,,yes
Club Champion,284 Dupont Street,Corona,CA,92879-6029,,,ping,new,,yes
Club Champion,2710 Via De La Valle,Del Mar,CA,92014-1917,,,ping,new,,yes
GolfTEC Folsom,2795 E BIDWELL RD,FOLSOM,CA,95630,,,ping,new,,yes
GolfTEC Foster City,1031 E HILLSDALE BLVD,FOSTER CITY,CA,94404-1611,,,ping,new,,yes
Cool Clubs,2401 East 3rd Avenue,Foster City,CA,94404,,,ping,new,,yes
GolfTEC Huntington Beach,15811 GRAHAM ST,HUNTINGTON BEACH,CA,92649-1723,,,ping,new,,yes
GolfTEC La Quinta #341,80150 US HIGHWAY 111 STE A-2,INDIO,CA,92201-8360,,,ping,new,,yes
GolfTEC Irvine,18021 SKY PARK CIR BLDG 68,IRVINE,CA,92614-6523,,,ping,new,,yes
Cool Clubs,1 Golf Club Drive,Irvine,CA,92618,,,ping,new,,yes
GolfTEC West La,3130 S SEPULVEDA BLVD STE C,LOS ANGELES,CA,90034-4214,,,ping,new,,yes
GolfTEC Mission Viejo,28892 MARGUERITE PKWY,MISSION VIEJO,CA,92692-3816,,,ping,new,,yes
Club Champion,3601 Jamboree Road,Newport Beach,CA,92660,,,ping,new,,yes
GolfTEC Oxnard,2100 OUTLET CENTER DR,OXNARD,CA,93036-0612,,,ping,new,,yes
GolfTEC Pasedena,2245 E COLORADO BLVD,PASADENA,CA,91107-6829,,,ping,new,,yes
GolfTEC Pleasanton,4247 ROSEWOOD DR #16,PLEASANTON,CA,94588,,,ping,new,,yes
Club Champion,72306 California 111,Palm Desert,CA,92260,,,ping,new,,yes
True Spec Golf - Palm Desert,9002 Shadow Ridge Road,Palm Desert,CA,92211,,,ping,new,,yes
Club Champion,1232 Galleria Boulevard,Roseville,CA,95678-1950,,,ping,new,,yes
GolfTEC Mission Valley #110,7510 HAZARD CENTER DR STE 417,SAN DIEGO,CA,92108-4525,,,ping,new,,yes
GolfTEC Santa Monica,918 COLORADO AVE,SANTA MONICA,CA,90401-2717,,,ping,new,,yes
GolfTEC Studio City,12741 1/2 VENTURA BLVD,STUDIO CITY,CA,91604,,,ping,new,,yes
Club Champion,1123 Industrial Road,San Carlos,CA,94070-4106,,,ping,new,,yes
True Spec Golf - San Diego,5200 Grand Del Mar Way,San Diego,CA,92130,,,ping,new,,yes
Club Champion,5021 Almaden Expressway,San Jose,CA,95118,,,ping,new,,yes
Club Champion,2929 Santa Monica Boulevard,Santa Monica,CA,90404-2413,,,ping,new,,yes
GolfTEC South Bay,22750 HAWTHORNE BLVD 101B,TORRANCE,CA,90505,,,ping,new,,yes
GolfTEC Woodland Hills,21015 OXNARD ST,WOODLAND HILLS,CA,91367,,,ping,new,,yes
True Spec Golf - Tampa Bay,1501 Indian Rocks Road,Belleair,FL,33756,,,ping,new,,yes
GOLFTEC Boca Raton,7134 Beracasa Way,Boca Raton,FL,33433-3448,561 483 4180,,ping,new,,yes
True Spec Golf - Naples,24850 Old 41 Road,Bonita Springs,FL,34135-7021,,,ping,new,,yes
Club Champion,5275 University Parkway,Bradenton,FL,34201,,,ping,new,,yes
Club Champion,2486 West Brandon Boulevard,Brandon,FL,33511,,,ping,new,,yes
GolfTEC Clearwater Mall,23894 US HIGHWAY 19 N,CLEARWATER,FL,33765-1527,,,ping,new,,yes
Club Champion,14917 Lyons Road,Delray Beach,FL,33446,,,ping,new,,yes
True Spec Golf - Doral,4400 Northwest 87th Avenue,Doral,FL,33178,,,ping,new,,yes
GolfTEC Ft Myers,14261 S TAMIAMI TRL,FORT MYERS,FL,33912-1912,,,ping,new,,yes
GolfTEC Jacksonville,4372 SOUTHSIDE BLVD STE 306,JACKSONVILLE,FL,32216-8501,,,ping,new,,yes
Club Champion,13529 Beach Boulevard,Jacksonville,FL,32224,,,ping,new,,yes
True Spec Golf - Ponte Vedra,14797 Philips Highway,Jacksonville,FL,32256-3746,,,ping,new,,yes
Club Champion,901 West Indiantown Road,Jupiter,FL,33458,,,ping,new,,yes
ClubCraft Custom Golf Club Fitting,2885 Jupiter Park Dr #200,Jupiter,FL,33458,+1561-401-9185,https://clubcraft.com/,openseo,new,,yes
True Spec Golf - Jupiter,115 Eagle Trace Court,Jupiter,FL,33477,,,ping,new,,yes
GolfTEC Sarasota,6249 LAKE OSPREY DR,LAKEWOOD RANCH,FL,34240-8433,,,ping,new,,yes
Club Champion,8960 Southwest 72nd Street,Miami,FL,33173,,,ping,new,,yes
GOLFTEC North Miami Beach,14761 Biscayne Boulevard,Miami,FL,33181,786 891 4779,,ping,new,,yes
True Spec Golf - Naples Grande,7335 Premier Drive,Naples,FL,34105-7276,,,ping,new,,yes
GolfTEC Millenia,4201 VINELAND RD STE I10,ORLANDO,FL,32811-7486,,,ping,new,,yes
Club Champion,7720 Turkey Lake Road,Orlando,FL,32819-5224,,,ping,new,,yes
GOLFTEC Lake Nona,9985 Tagore Place,Orlando,FL,32827-7704,321 346 4511,,ping,new,,yes
True Spec Golf - Orlando,12001 Avenue Verde,Orlando,FL,32821-7071,,,ping,new,,yes
GolfTEC St Petersburg,8808 4TH ST N,ST PETERSBURG,FL,33702,,,ping,new,,yes
Club Champion,1481 WP Ball Boulevard,Sanford,FL,32771,,,ping,new,,yes
GolfTEC Westshore,4142 W BOY SCOUT BLVD,TAMPA,FL,33607-5714,,,ping,new,,yes
GOLFTEC New Tampa,18047 Highwoods Preserve Parkway,Tampa,FL,33647,813 608 0283,,ping,new,,yes
Club Champion,363 Colony Boulevard,The Villages,FL,32162,,,ping,new,,yes
Cool Clubs,16301 Phil Ritson Way,Winter Garden,FL,34787-6200,,,ping,new,,yes
GolfTEC Buckhead Station,3145 PEACHTREE RD NE,ATLANTA,GA,30305-1800,,,ping,new,,yes
GOLFTEC Midtown Atlanta,699 Spring Street Northwest,Atlanta,GA,30308-1977,470 298 7091,,ping,new,,yes
True Spec Golf - Atlanta,3050 Peachtree Road Northwest,Atlanta,GA,30305,,,ping,new,,yes
Club Champion,3310 Buford Drive,Buford,GA,30519-8701,,,ping,new,,yes
Cool Clubs,1310 Joe Frank Harris Parkway Southeast,Cartersville,GA,30120-4221,,,ping,new,,yes
True Spec Golf - North Georgia,1310 Joe Frank Harris Parkway Southeast,Cartersville,GA,30120-4221,,,ping,new,,yes
GolfTEC Roswell,6329 ROSWELL RD,SANDY SPRINGS,GA,30328-3225,,,ping,new,,yes
GolfTEC Fox Creek,1501 WINDY HILL RD SE,SMYRNA,GA,30080-2179,,,ping,new,,yes
Club Champion,6690 Roswell Road,Sandy Springs,GA,30328,,,ping,new,,yes
GOLFTEC Allen,977 State Highway 121,Allen,TX,75013-2245,469 663 0015,,ping,new,,yes
Club Champion,3801 North Capital of Texas Highway,Austin,TX,78746,(512) 953-5900,,ping,new,,yes
GOLFTEC College Station,1505 University Drive East,College Station,TX,77840-2672,979 426 0997,,ping,new,,yes
GolfTEC North Dallas,5290 BELT LINE RD,DALLAS,TX,75254-7512,,,ping,new,,yes
GolfTEC Park Cities,5400 E MOCKINGBIRD LN,DALLAS,TX,75206-5300,,,ping,new,,yes
Club Champion,5331 East Mockingbird Lane,Dallas,TX,75206,,,ping,new,,yes
GolfTEC,641 N RESLER DR,EL PASO,TX,79912-2385,915-308-0880,,ping,new,,yes
GolfTEC Fort Worth,2600 W 7TH ST,FORT WORTH,TX,76107-9321,,,ping,new,,yes
GolfTEC Baybrook,19074 GULF FWY,FRIENDSWOOD,TX,77546-2703,,,ping,new,,yes
Club Champion,4601 West Freeway,Fort Worth,TX,76107,,,ping,new,,yes
Cool Clubs,6363 Dallas Parkway,Frisco,TX,75034-9682,,,ping,new,,yes
GolfTEC Houston Galleria,5000 WESTHEIMER RD,HOUSTON,TX,77056-5617,,,ping,new,,yes
GolfTEC Houston Heights,2799 KATY FWY,HOUSTON,TX,77007,,,ping,new,,yes
GolfTEC Memorial City,10403 KATY FWY,HOUSTON,TX,77024-1184,,,ping,new,,yes
GolfTEC Upper Kirby,5110 BUFFALO SPEEDWAY,HOUSTON,TX,77005-4220,,,ping,new,,yes
Club Champion,10321 Katy Freeway,Houston,TX,77024-1107,,,ping,new,,yes
GOLFTEC Cypress,27002 Northwest Freeway,Houston,TX,77433,346 666 7005,,ping,new,,yes
GolfTEC Las Colinas,114 E JOHN CARPENTER FWY,IRVING,TX,75062-3539,,,ping,new,,yes
True Spec Golf - Dallas-Fort Worth,4030 North MacArthur Boulevard,Irving,TX,75038,,,ping,new,,yes
GolfTEC Plano,340 COIT RD,PLANO,TX,75075-5882,,,ping,new,,yes
Club Champion,4701 West Park Boulevard,Plano,TX,75093-2326,,,ping,new,,yes
GolfTEC Southlake,2757 E SOUTHLAKE BLVD,SOUTHLAKE,TX,76092,,,ping,new,,yes
Club Champion,340 East Basse Road,San Antonio,TX,78209,,,ping,new,,yes
Club Champion,19075 Interstate 45,Shenandoah,TX,77385-8705,,,ping,new,,yes
GolfTEC Sugar Land,16560 Southwest Freeway,Sugar Land,TX,77479,,,ping,new,,yes
Cool Clubs,699 Lady of The Lake Boulevard,The Colony,TX,75056,,,ping,new,,yes
Golf Galaxy - Chandler,880 N 54TH ST,CHANDLER,AZ,85226-1504,,,ping,new,,yes
PGA Tour Superstore Chandler,2031 N ARIZONA AVE,CHANDLER,AZ,85225-3409,,,ping,new,,yes
PGA Tour Superstore Glendale,7360 W BELL RD,GLENDALE,AZ,85308-8526,,,ping,new,,yes
Golf Galaxy - Glendale,7765 W BELL RD,PEORIA,AZ,85382-3804,,,ping,new,,yes
PGA Tour Superstore N. Scottsdale,7000 E MAYO BLVD,PHOENIX,AZ,85054-6158,602-777-6380,,ping,new,,yes
2nd Swing Scottsdale South,9130 TALKING STICK WAY,SCOTTSDALE,AZ,85250,,,ping,new,,yes
PGA TOUR Superstore - Shea Scottsdale,8740 E SHEA BLVD,SCOTTSDALE,AZ,85260-6625,480-214-4350,,ping,new,,yes
PGA Tour Superstore Tucson,4215 N ORACLE RD,TUCSON,AZ,85705-1631,,,ping,new,,yes
Roger Dunn - Canoga Park,21603 VICTORY BLVD,CANOGA PARK,CA,91303,,,ping,new,,yes
Golf Mart - Carlsbad,2711 HAYMAR DR,CARLSBAD,CA,92008-1260,,,ping,new,,yes
Golf Mart - Del Mar,15555 JIMMY DURANTE BLVD,DEL MAR,CA,92014-1901,,,ping,new,,yes
Golf Galaxy - Dublin,2820 DUBLIN BLVD,DUBLIN,CA,94568-4589,,,ping,new,,yes
Golf Mart - Dublin,6694 AMADOR PLAZA RD,DUBLIN,CA,94568-2996,,,ping,new,,yes
PGA Tour Superstore East Palo Alto,1751 E BAYSHORE RD,EAST PALO ALTO,CA,94303-2523,,,ping,new,,yes
Golf Mart - Encinitas,1441 ENCINITAS BLVD. #110,ENCINITAS,CA,92024,,,ping,new,,yes
Golf Mart - Escondido,1066 W VALLEY PKWY,ESCONDIDO,CA,92025-2559,,,ping,new,,yes
Roger Dunn Golf Fresno,5618 N BLACKSTONE AVE,FRESNO,CA,93710-5004,559-436-0464,,ping,new,,yes
Roger Dunn - Indio,80555 US HIGHWAY 111,INDIO,CA,92201-6532,,,ping,new,,yes
PGA Tour Superstore Irvine,107 TECHNOLOGY DR,IRVINE,CA,92618-2408,,,ping,new,,yes
Roger Dunn - West Los Angeles,1801 S BUNDY DR,LOS ANGELES,CA,90025-5201,,,ping,new,,yes
Roger Dunn - Mission Viejo,28191 MARGUERITE PKWY,MISSION VIEJO,CA,92692-3735,,,ping,new,,yes
Roger Dunn - Newbury Park,2812 CAMINO DOS RIOS,NEWBURY PARK,CA,91320,,,ping,new,,yes
Roger Dunn - North Hollywood,5445 LANKERSHIM BLVD,NORTH HOLLYWOOD,CA,91601-2723,818-763-3622,,ping,new,,yes
PGA Tour Superstore Palm Desert,72280 HIGHWAY 111,PALM DESERT,CA,92260-2743,,,ping,new,,yes
Golf Galaxy - Pasadena,3635 E FOOTHILL BLVD,PASADENA,CA,91107-3121,,,ping,new,,yes
Golf Galaxy - Pleasant Hill,120 CRESCENT DR,PLEASANT HILL,CA,94523-5502,,,ping,new,,yes
Roger Dunn - Rancho Cucamonga,11849 FOOTHILL BLVD,RANCHO CUCAMONGA,CA,91730-3931,9099487959,,ping,new,,yes
Roger Dunn - Riverside,10031A INDIANA AVE,RIVERSIDE,CA,92503-9300,,,ping,new,,yes
Golf Galaxy - Sacramento,5771 FIVE STAR BLVD,ROSEVILLE,CA,95678-3456,,,ping,new,,yes
Golf Mart - San Diego,1231 CAMINO DEL RIO S,SAN DIEGO,CA,92108-3584,,,ping,new,,yes
Golf Galaxy - San Jose,4070 STEVENS CREEK BLVD,SAN JOSE,CA,95129-1334,,,ping,new,,yes
Golf Mart - San Rafael,530 FRANCISCO BLVD W,SAN RAFAEL,CA,94901-3963,,,ping,new,,yes
Roger Dunn - Santa Ana,1421 VILLAGE WAY,SANTA ANA,CA,92705-4714,,,ping,new,,yes
Golf Mart - Santa Rosa (rohnert),2768 SANTA ROSA AVE,SANTA ROSA,CA,95407-6220,,,ping,new,,yes
Roger Dunn - Seal Beach,13958 SEAL BEACH BLVD,SEAL BEACH,CA,90740-5301,,,ping,new,,yes
Golf Mart - Seaside,2040 FREMONT BLVD,SEASIDE,CA,93955-3104,831-583-1000,,ping,new,,yes
Golf Mart - South San Francisco,470A NOOR AVE,SOUTH SAN FRANCISCO,CA,94080-5957,650-583-4653,,ping,new,,yes
Golf Galaxy,4070 Stevens Creek Blvd,San Jose,CA,95129,+1408-615-7000,https://stores.golfgalaxy.com/ca/san-jose/3202/?seo=localpack,openseo,new,,yes
Golf Galaxy - Upland,1221 E 19TH ST,UPLAND,CA,91784-9285,,,ping,new,,yes
Roger Dunn Golf Visalia,1813 West Caldwell Avenue,Visalia,CA,93277-8003,5597341385,,ping,new,,yes
Golf Mart - Walnut Creek,1299 PARKSIDE DR,WALNUT CREEK,CA,94596-3693,,,ping,new,,yes
PGA Tour Superstore Altamonte Sprin,375 E ALTAMONTE DR,ALTAMONTE SPRINGS,FL,32701-4400,,,ping,new,,yes
Edwin Watts - Boca Raton,20655 Lyons Road,Boca Raton,FL,33434-3947,561-717-8432,,ping,new,,yes
Golf Galaxy - Clearwater,2753 GULF TO BAY BLVD,CLEARWATER,FL,33759-3945,,,ping,new,,yes
PGA Tour Superstore Delray Beach,1040 LINTON BLVD,DELRAY BEACH,FL,33444-1104,,,ping,new,,yes
Edwin Watts - Destin,36074 EMERALD COAST PKWY,DESTIN,FL,32541-5719,8506540363,,ping,new,,yes
Edwin Watts - Doral,8484 NW 36TH ST,DORAL,FL,33166-6618,(305)591-1220,,ping,new,,yes
Edwin Watts - Ft Myers,11120 S CLEVELAND AVE,FORT MYERS,FL,33907-2352,,,ping,new,,yes
Golf Galaxy - Fort Myers,10091 GULF CENTER DR,FORT MYERS,FL,33913-8963,,,ping,new,,yes
Edwin Watts - Jacksonville,9365 PHILIPS HWY,JACKSONVILLE,FL,32256-1360,,,ping,new,,yes
PGA Tour Superstore Jacksonville,SUITE 300 4906 TOWN CENTER PKWY,JACKSONVILLE,FL,32246,,,ping,new,,yes
Edwin Watts - Jacksonville Beach,4082 3RD ST S,JAX BCH,FL,32250-5848,,,ping,new,,yes
Edwin Watts - Lady Lake,676 N US-441,LADY LAKE,FL,32159-3777,,,ping,new,,yes
Golf Galaxy - Lutz,17649 N DALE MABRY HWY,LUTZ,FL,33548-4535,,,ping,new,,yes
Golf Galaxy - Naples,6428 HOLLYWOOD BLVD,NAPLES,FL,34109-2038,,,ping,new,,yes
PGA Tour Superstore Naples,2135 TAMIAMI TRL N,NAPLES,FL,34102-4820,,,ping,new,,yes
Edwin Watts - N Miami Beach,15999 BISCAYNE BLVD,NORTH MIAMI BEACH,FL,33160-4605,,,ping,new,,yes
Edwin Watts - Orlando,7501 TURKEY LAKE RD,ORLANDO,FL,32819-5223,,,ping,new,,yes
Golf Galaxy - Turkey Lake,8055 TURKEY LAKE RD,ORLANDO,FL,32819-7382,,,ping,new,,yes
PGA Tour Superstore Orlando,7603 TURKEY LAKE RD,ORLANDO,FL,32819-5313,,,ping,new,,yes
Edwin Watts - Palm Beach Gardens,3889 NORTHLAKE BLVD,PALM BEACH GARDENS,FL,33403-1509,,,ping,new,,yes
PGA Tour Superstore Pbg,3198 PGA BLVD,PALM BEACH GARDENS,FL,33410-2802,,,ping,new,,yes
Edwin Watts - Palm Harbor,32257 US HIGHWAY 19 N,PALM HARBOR,FL,34684-3708,,,ping,new,,yes
Golf Galaxy - Pembroke Crossing,11810 PINES BLVD,PEMBROKE PINES,FL,33026-4123,,,ping,new,,yes
Edwin Watts - Pensacola,5717 N DAVIS HWY,PENSACOLA,FL,32503,850-477-0519,,ping,new,,yes
PGA Tour Superstore Ft Lauderdale,8101 W BROWARD BLVD,PLANTATION,FL,33324-2011,,,ping,new,,yes
Edwin Watts - Pompano Beach,435 S FEDERAL HWY,POMPANO BEACH,FL,33062-5901,,,ping,new,,yes
Golf Galaxy - Sarasota,143 N CATTLEMEN RD,SARASOTA,FL,34243-4700,,,ping,new,,yes
Edwin Watts - Tallahassee,2423 CAPITAL CIR NE,TALLAHASSEE,FL,32308-4101,,,ping,new,,yes
Edwin Watts - Tampa,11921 N DALE MABRY HWY,TAMPA,FL,33618-3512,,,ping,new,,yes
Edwin Watts - Tampa #15,11921 N DALE MABRY HWY,TAMPA,FL,33618-3512,813-960-5330,,ping,new,,yes
PGA Tour Superstore Tampa,13210 N DALE MABRY HWY,TAMPA,FL,336158,,,ping,new,,yes
