category,name,address,city,state_code,zip,phone,website,sources,verdict,reason,approved
big_box,CHANDLER SCHEELS,3199 West Chandler Boulevard,Chandler,AZ,85226,4806766855,,ping,new,,yes
big_box,DICK'S SPORTING GOODS-GILBERT,2269 S SAN TAN VILLAGE PKWY,GILBERT,AZ,85295-0720,,,ping,new,,yes
big_box,DICK'S SPORTING GOODS-GLENDALE,7680 W ARROWHEAD TOWNE CTR,GLENDALE,AZ,85308-8610,,,ping,new,,yes
big_box,DICK'S SPORTING GOODS-DEER VALLEY,2350 W HAPPY VALLEY RD,PHOENIX,AZ,85085-8502,,,ping,new,,yes
big_box,DICK'S SPORTING GOODS-SCOTTSDALE (FASHION SQUARE),7014 E CAMELBACK RD STE 3,SCOTTSDALE,AZ,85251-1227,,,ping,new,,yes
big_box,DICK'S SPORTING GOODS-TEMPE,8550 S EMERALD DR,TEMPE,AZ,85284-1032,,,ping,new,,yes
big_box,DICK'S SPORTING GOODS-TUCSON,6327 E BROADWAY BLVD,TUCSON,AZ,85710-3502,,,ping,new,,yes
big_box,DICK'S SPORTING GOODS-BAKERSFIELD,9300 ROSEDALE HWY,BAKERSFIELD,CA,93312-2162,,,ping,new,,yes
big_box,DICK'S SPORTING GOODS-CERRITOS,435 LOS CERRITOS MALL,CERRITOS,CA,90703-5426,,,ping,new,,yes
big_box,DICK'S SPORTING GOODS-CHINO,4044 GRAND AVE,CHINO,CA,91710-5437,,,ping,new,,yes
big_box,DICK'S SPORTING GOODS-CHULA VISTA,390 E H ST,CHULA VISTA,CA,91910-7483,,,ping,new,,yes
big_box,DICK'S SPORTING GOODS-DALY CITY,64 SERRAMONTE CTR,DALY CITY,CA,94015-2345,,,ping,new,,yes
big_box,DICK'S SPORTING GOODS-EASTVALE,12399 LIMONITE AVE,EASTVALE,CA,91752-3671,,,ping,new,,yes
big_box,DICK'S SPORTING GOODS-EL CAJON,565 FLETCHER PKY,EL CAJON,CA,92020,,,ping,new,,yes
big_box,DICK'S SPORTING GOODS-EL SEGUNDO,770 PACIFIC COAST HWY,EL SEGUNDO,CA,90245,,,ping,new,,yes
