tier,reason,name,city,state,shop_type,offers_fitting,reviews,rating,slug,website
1,apparel brand/outlet,Bad Birdie,Scottsdale,AZ,Retailer,False,263,4.9,bad-birdie-scottsdale-az,https://badbirdiegolf.com/
1,apparel brand/outlet,GOLF Apparel Shop,Chandler,AZ,Retailer,False,3,3,golf-apparel-shop-chandler-az,https://www.golfapparelshop.com/
1,apparel brand/outlet,Bad Birdie,San Diego,CA,Retailer,False,0,4.8,bad-birdie-san-diego-ca,https://badbirdiegolf.com/
1,apparel brand/outlet,GOLF Apparel Shop,St. Augustine,FL,Retailer,False,0,4.3,golf-apparel-shop-st-augustine-fl,https://www.golfapparelshop.com/
1,apparel brand/outlet,GOLF Apparel Shop,Lutz,FL,Retailer,False,0,5,golf-apparel-shop-lutz-fl,https://www.golfapparelshop.com/
1,apparel brand/outlet,Hole In One GOLF Apparel,Snellville,GA,Retailer,False,0,0,hole-in-one-golf-apparel-snellville-ga,https://www.holeinonegolfapparel.store/
1,apparel brand/outlet,Shanks GOLF Apparel,Bowie,MD,Retailer,False,0,5,shanks-golf-apparel-bowie-md,https://www.shanksgolfapparel.com/
1,apparel brand/outlet,Discount GOLF Apparel Store By 2nd Swing GOLF,Minnetonka,MN,Retailer,False,0,5,discount-golf-apparel-store-by-2nd-swing-golf-minnetonka-mn,https://www.2ndswing.com/discount-golf-apparel-shop
1,apparel brand/outlet,Legendary GOLF Apparel,White Bear Lake,MN,Retailer,False,0,5,legendary-golf-apparel-white-bear-lake-mn,https://lgndy.co/
1,apparel brand/outlet,Under Armour,New York,NY,Retailer,False,0,4.2,under-armour-new-york-ny,https://www.underarmour.com/en-us/stores/detail/UABH-185GSSLNYN/
1,apparel brand/outlet,Under Armour Factory House - Tanger Outlet Columbus,Sunbury,OH,Retailer,False,0,4.4,under-armour-factory-house-tanger-outlet-columbus-sunbury-oh,https://www.underarmour.com/en-us/stores/detail/UAFH-400SWRS500/
1,apparel brand/outlet,GOLF Apparel Shop,Bluffton,SC,Retailer,False,0,5,golf-apparel-shop-bluffton-sc,https://www.golfapparelshop.com/
1,apparel brand/outlet,Sunfish GOLF And Apparel,Madison,TN,Retailer,False,0,4.3,sunfish-golf-and-apparel-madison-tn,https://www.sunfishsales.com/
1,driving range — website confirms no fitting,Northshore GOLF Range,North Little Rock,AR,Driving Range,False,0,4.8,northshore-golf-range-north-little-rock-ar,https://www.northshoregolfrange.com/
1,driving range — website confirms no fitting,Woodhaven Country Club,Louisville,KY,Driving Range,False,0,4.6,woodhaven-country-club-louisville-ky,https://www.woodhavencountryclub.org/
1,driving range — website confirms no fitting,Wachusett Country Club,West Boylston,MA,Driving Range,False,0,4.4,wachusett-country-club-west-boylston-ma,https://www.wachusettcc.com/
1,driving range — website confirms no fitting,Hurryville Driving Range & Par,Farmington,MO,Driving Range,False,0,4.8,hurryville-driving-range-par-farmington-mo,https://hurryville.weebly.com/
1,driving range — website confirms no fitting,University Of New Mexico,Albuquerque,NM,Driving Range,False,0,4.4,university-of-new-mexico-albuquerque-nm,https://unmgolf.unm.edu/
1,driving range — website confirms no fitting,Colonial Springs GOLF Club,Farmingdale,NY,Driving Range,False,0,4.6,colonial-springs-golf-club-farmingdale-ny,https://www.colonialspringsgolf.com/
1,driving range — website confirms no fitting,The GOLF Depot,Gahanna,OH,Driving Range,False,0,3.8,the-golf-depot-gahanna-oh,https://www.facebook.com/GolfDepot/
1,driving range — website confirms no fitting,Penn Oaks GOLF Club,West Chester,PA,Driving Range,False,0,4.6,penn-oaks-golf-club-west-chester-pa,https://www.pennoaksgolfclub.com/
1,driving range — website confirms no fitting,Ridgeway Country Club,Germantown,TN,Driving Range,False,0,4.8,ridgeway-country-club-germantown-tn,https://www.ridgewaycountryclub.com/
1,driving range — website confirms no fitting,Texas 9 GOLF,Fort Worth,TX,Driving Range,False,0,4.8,texas-9-golf-fort-worth-tx,https://www.texas9.com/
1,driving range — website confirms no fitting,Aeropines GOLF Club,Virginia Beach,VA,Driving Range,False,0,4.2,aeropines-golf-club-virginia-beach-va,https://www.navymwroceanadamneck.com/programs/f604e1bc-2b2e-4237-8321-cf5ef95ac3f7
1,driving range — website confirms no fitting,Blue Ridge Shadows GOLF Club,Front Royal,VA,Driving Range,False,0,4.4,blue-ridge-shadows-golf-club-front-royal-va,https://www.blueridgeshadows.com/
1,driving range — website confirms no fitting,Essex Country Club,Essex Junction,VT,Driving Range,False,0,3.6,essex-country-club-essex-junction-vt,https://www.essexccvt.com/
1,driving range — website confirms no fitting,Fox Run GOLF Club,Ludlow,VT,Driving Range,False,0,4.5,fox-run-golf-club-ludlow-vt,https://www.foxrungolfclubvt.com/
1,driving range — website confirms no fitting,Newport Country Club,Newport,VT,Driving Range,False,0,4.6,newport-country-club-newport-vt,https://www.newportscountryclub.com/
1,driving range — website confirms no fitting,The Links At Lang Farm,Essex Junction,VT,Driving Range,False,0,4.5,the-links-at-lang-farm-essex-junction-vt,https://www.linksatlangfarm.com/
1,driving range — website dead/unreachable,Holen1golf - Eric Holen,Woodville,WI,Driving Range,False,0,4.9,holen1golf-eric-holen-woodville-wi,https://www.wwigolf.com/lessons.html#/
1,golf cart / turf equipment dealer,England GOLF And Powersports,Searcy,AR,Retailer,False,0,4.8,england-golf-and-powersports-searcy-ar,https://www.smith-golf.com/
1,golf cart / turf equipment dealer,Kansas GOLF & Turf INC,Wichita,KS,Retailer,False,0,4.6,kansas-golf-turf-inc-wichita-ks,https://www.shopkgt.com/
1,golf cart / turf equipment dealer,Oh GOLF Carts,Sunbury,OH,Retailer,False,0,5,oh-golf-carts-sunbury-oh,https://www.ohgolfcarts.com/
1,golf cart / turf equipment dealer,GOLF Car Specialties,Pottstown,PA,Retailer,False,0,4.8,golf-car-specialties-pottstown-pa,https://www.golfcarspecialties.com/
1,golf cart / turf equipment dealer,Surf And Turf Sports,Pawleys Island,SC,Retailer,False,0,5,surf-and-turf-sports-pawleys-island-sc,https://surfturfsports.com/
1,instruction only — website confirms no fitting,Back Nine GOLF,Bentonville,AR,Instruction,False,0,5,back-nine-golf-bentonville-ar,https://www.backninegolfacademy.com/
1,instruction only — website confirms no fitting,Brent Smith GOLF,Scottsdale,AZ,Instruction,False,0,5,brent-smith-golf-scottsdale-az,https://brentsmithgolf.com/
1,instruction only — website confirms no fitting,Byrdie GOLF,Englewood,CO,Instruction,False,0,5,byrdie-golf-englewood-co,https://byrdiegolfco.com/
1,instruction only — website confirms no fitting,Denver GOLF Performance,Denver,CO,Instruction,False,0,5,denver-golf-performance-denver-co,https://www.denvergolfperformance.com/
