score,problem,details,name,city,state,rating,reviews,phone,website,listing
77,dead,,A To Z GOLF Coaching & Fitting Center,Hampton,GA,4.9,61,(770) 477-2099,https://atozgolfpro.com/,https://clubfittingdirectory.com/listing/a-to-z-golf-coaching-fitting-center-hampton-ga
59,dead,,Savannah Indoor GOLF Club,Savannah,GA,5.0,,(912) 655-9119,https://savannahindoorgolfclub.com/,https://clubfittingdirectory.com/listing/savannah-indoor-golf-club-savannah-ga
59,dead,,Robogolf PRO,Las Vegas,NV,5.0,,(702) 715-9651,https://www.robogolfprolasvegas.com/,https://clubfittingdirectory.com/listing/robogolf-pro-las-vegas-nv
59,dead,,Golph Co.,Carrollton,GA,4.9,,(770) 687-9738,https://golphco.com/,https://clubfittingdirectory.com/listing/golph-co-carrollton-ga
59,dead,,Freedom GOLF Lab,Columbia,TN,5.0,,(931) 374-6023,https://www.freedomgolflab.com/,https://clubfittingdirectory.com/listing/freedom-golf-lab-columbia-tn
55,seo_basics,"thin-title,no-meta-description",No Bogeys Golf,Laguna Beach,CA,4.8,102,(949) 595-4405,https://nobogeysgolf.com/,https://clubfittingdirectory.com/listing/no-bogeys-golf-laguna-beach-ca
54,dead,,The North GOLF Clothing,Edina,MN,5.0,,(612) 816-5299,https://www.thenorthgolf.com/contact,https://clubfittingdirectory.com/listing/the-north-golf-clothing-edina-mn
53,social_only,,GOLF Fit USA,Kearney,NE,4.9,,(308) 455-3371,https://www.facebook.com/GolfFitUSA/,https://clubfittingdirectory.com/listing/golf-fit-usa-kearney-ne
53,dead,,PRO AM GOLF USA,St. Louis,MO,4.5,,(314) 647-8054,https://www.proamgolfusa.com/,https://clubfittingdirectory.com/listing/pro-am-golf-usa-st-louis-mo
53,social_only,,Bullet's Club Service,Newport,TN,5.0,,(423) 415-6820,https://www.facebook.com/share/18vDqyyh7R/?mibextid=wwXIfr,https://clubfittingdirectory.com/listing/bullets-club-service-newport-tn
53,social_only,,Kauffman's Custom Clubs,Centerton,AR,5.0,,(785) 285-1052,https://www.facebook.com/share/16SVaLWx3r/,https://clubfittingdirectory.com/listing/kauffmans-custom-clubs-centerton-ar
50,seo_basics,no-h1,Morton GOLF Sales,Sacramento,CA,4.8,138,(888) 988-3673,https://www.mortongolfsales.com/,https://clubfittingdirectory.com/listing/morton-golf-sales-sacramento-ca
48,social_only,,Fincastle GOLF Academy,Bluefield,VA,4.9,,(304) 972-2739,https://www.facebook.com/profile.php?id=100078312873173,https://clubfittingdirectory.com/listing/fincastle-golf-academy-bluefield-va
48,social_only,,Oliver's Lessons & Club Repairs,Lancaster,MO,5.0,,(660) 216-9270,https://m.facebook.com/OliversLessonsandClubRepairs,https://clubfittingdirectory.com/listing/olivers-lessons-club-repairs-lancaster-mo
48,dead,,The Grounds Driving Range & PRO Shop,Flushing,MI,4.6,,(810) 820-4530,https://thegroundsgolf.com/,https://clubfittingdirectory.com/listing/the-grounds-driving-range-pro-shop-flushing-mi
48,dead,,The GOLF Lab,Chantilly,VA,4.7,,(571) 469-8077,https://www.thegolflabva.com/,https://clubfittingdirectory.com/listing/the-golf-lab-chantilly-va
47,free_builder,,Remarcable GOLF,Kernersville,NC,5.0,,(336) 690-8944,https://remarcablegolf.wordpress.com/,https://clubfittingdirectory.com/listing/remarcable-golf-kernersville-nc
47,social_only,,Cajun Made GOLF Products INC,Monroe,LA,4.7,,(318) 387-0738,https://www.facebook.com/p/Cajun-Made-Golf-Products-100057160642241/,https://clubfittingdirectory.com/listing/cajun-made-golf-products-inc-monroe-la
47,social_only,,Kouros Logic GOLF,Rowland Heights,CA,4.6,,(626) 546-8336,https://www.facebook.com/profile.php?id=100063452656668,https://clubfittingdirectory.com/listing/kouros-logic-golf-rowland-heights-ca
46,seo_basics,no-meta-description,Twenty To Scratch,Rogers,AR,5.0,,(479) 200-4069,https://twentytoscratch.com/,https://clubfittingdirectory.com/listing/twenty-to-scratch-rogers-ar
43,ssl_error,,Kustom Clubs Fitting Center,Manchester,NH,4.8,,(603) 623-7876,https://www.kustomclubs.com/,https://clubfittingdirectory.com/listing/kustom-clubs-fitting-center-manchester-nh
43,ssl_error,,Oakmont GOLF Center,Oakmont,PA,4.8,,(412) 828-1580,https://www.oakmontgolfcenter.com/,https://clubfittingdirectory.com/listing/oakmont-golf-center-oakmont-pa
43,ssl_error,,Golfclubtec,Hudson,NH,5.0,,(339) 221-0361,https://www.golfclubtec.com/,https://clubfittingdirectory.com/listing/golfclubtec-hudson-nh
43,ssl_error,,Spring Lake Custom GOLF,Spring Lake,NJ,5.0,,(732) 449-1116,https://www.springlakecustomgolf.com/,https://clubfittingdirectory.com/listing/spring-lake-custom-golf-spring-lake-nj
43,seo_basics,"no-meta-description,no-h1",Elite Fit GOLF,Decatur,GA,4.9,38,(404) 225-2511,https://elitefitgolf.com/,https://clubfittingdirectory.com/listing/elite-fit-golf-decatur-ga
43,ssl_error,,Bebu GOLF Studios,Gretna,LA,4.8,,(301) 814-3453,https://www.bebugolfstudio.com/,https://clubfittingdirectory.com/listing/bebu-golf-studios-gretna-la
